epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,25258,1.12665,0.53848,0.92936,0.85331,0.7748,0.82907,0.51409,1.31447,0.58815,1.00988,0.004852,0.004852,0.004852
106,25488.4,1.12745,0.54009,0.93058,0.84899,0.77999,0.83017,0.51395,1.31417,0.58828,1.00968,0.0048025,0.0048025,0.0048025
107,25721.5,1.12795,0.54217,0.92734,0.86038,0.77166,0.82867,0.51358,1.31371,0.58788,1.00928,0.004753,0.004753,0.004753
108,25951.9,1.1272,0.54009,0.92918,0.86207,0.77251,0.8288,0.51352,1.31316,0.58718,1.00893,0.0047035,0.0047035,0.0047035
109,26184.8,1.12932,0.54163,0.92766,0.86311,0.76992,0.82801,0.51355,1.31317,0.58677,1.00871,0.004654,0.004654,0.004654
110,26418.6,1.12584,0.54009,0.92742,0.85699,0.77355,0.82798,0.51345,1.31308,0.58635,1.0083,0.0046045,0.0046045,0.0046045
111,26651,1.12457,0.54162,0.9303,0.866,0.76683,0.82779,0.51359,1.31258,0.58598,1.00778,0.004555,0.004555,0.004555
112,26883.3,1.11812,0.53791,0.92873,0.86249,0.76783,0.82781,0.5138,1.31265,0.58554,1.00772,0.0045055,0.0045055,0.0045055
113,27115.4,1.11263,0.53698,0.92459,0.8524,0.77328,0.82721,0.51393,1.31255,0.58514,1.00757,0.004456,0.004456,0.004456
114,27348.7,1.10953,0.5348,0.92738,0.85819,0.77218,0.82741,0.51429,1.31227,0.58433,1.00737,0.0044065,0.0044065,0.0044065
115,27583,1.11136,0.53388,0.92265,0.85593,0.77216,0.82649,0.5136,1.31224,0.58412,1.00741,0.004357,0.004357,0.004357
116,27813.8,1.11282,0.53272,0.92638,0.85057,0.77539,0.82603,0.51361,1.31233,0.58411,1.00745,0.0043075,0.0043075,0.0043075
117,28045.8,1.10101,0.52844,0.92484,0.85999,0.7708,0.82577,0.51382,1.31277,0.58347,1.00772,0.004258,0.004258,0.004258
118,28277.4,1.1117,0.53149,0.92436,0.8524,0.77405,0.82626,0.51395,1.31303,0.58291,1.00788,0.0042085,0.0042085,0.0042085
119,28510.2,1.09891,0.52481,0.91995,0.85554,0.77382,0.82691,0.5136,1.31302,0.5824,1.00795,0.004159,0.004159,0.004159
120,28744.1,1.09595,0.5262,0.92106,0.8545,0.77418,0.82648,0.51337,1.31307,0.58219,1.00786,0.0041095,0.0041095,0.0041095
121,28977.5,1.0987,0.52759,0.92204,0.85437,0.77475,0.82762,0.51415,1.31335,0.58201,1.00806,0.00406,0.00406,0.00406
122,29210.3,1.10615,0.52791,0.92145,0.85423,0.77561,0.82791,0.51425,1.31344,0.58187,1.00812,0.0040105,0.0040105,0.0040105
123,29441.7,1.09846,0.52346,0.92194,0.85281,0.7759,0.82693,0.5141,1.31364,0.58149,1.00808,0.003961,0.003961,0.003961
124,29673.8,1.09542,0.52383,0.92069,0.85522,0.77432,0.82727,0.51428,1.31372,0.58128,1.00796,0.0039115,0.0039115,0.0039115
125,29906.3,1.10031,0.52774,0.92135,0.85381,0.77529,0.82762,0.51437,1.31384,0.58126,1.00787,0.003862,0.003862,0.003862
