epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,26306.8,1.19298,0.5818,0.94889,0.87541,0.75237,0.80713,0.49979,1.33328,0.60729,1.01285,0.0067825,0.0067825,0.0067825
67,26525,1.19145,0.58227,0.94934,0.8711,0.7552,0.81083,0.50237,1.3337,0.6032,1.01428,0.006733,0.006733,0.006733
68,26746.4,1.1899,0.58158,0.94613,0.86832,0.75041,0.80943,0.49934,1.33654,0.60075,1.01563,0.0066835,0.0066835,0.0066835
69,26965.5,1.18599,0.57579,0.94742,0.88131,0.74311,0.80778,0.50232,1.3306,0.59995,1.01347,0.006634,0.006634,0.006634
70,27184.3,1.18355,0.5757,0.94606,0.86607,0.74883,0.80592,0.49898,1.3247,0.60263,1.01303,0.0065845,0.0065845,0.0065845
71,27404.6,1.17841,0.57345,0.94513,0.86968,0.75315,0.80888,0.50006,1.3231,0.60381,1.01226,0.006535,0.006535,0.006535
72,27623.2,1.18541,0.57522,0.94596,0.87053,0.75962,0.80812,0.49936,1.32642,0.6047,1.0119,0.0064855,0.0064855,0.0064855
73,27845.1,1.17896,0.57507,0.94408,0.86545,0.76858,0.81399,0.50278,1.32916,0.59936,1.0143,0.006436,0.006436,0.006436
74,28064.8,1.17395,0.57164,0.94459,0.87424,0.75953,0.81323,0.50155,1.32722,0.5979,1.01353,0.0063865,0.0063865,0.0063865
75,28287.1,1.17723,0.57093,0.94241,0.86742,0.76004,0.8135,0.50324,1.32386,0.59429,1.01362,0.006337,0.006337,0.006337
76,28511.3,1.17568,0.57012,0.94222,0.87493,0.75603,0.81449,0.50422,1.32687,0.59453,1.01298,0.0062875,0.0062875,0.0062875
77,28732,1.16664,0.56583,0.9392,0.86841,0.76476,0.81699,0.50717,1.32581,0.59247,1.01212,0.006238,0.006238,0.006238
78,28950.7,1.17378,0.56904,0.94514,0.873,0.76274,0.8167,0.50666,1.32889,0.59093,1.01436,0.0061885,0.0061885,0.0061885
79,29171.1,1.1669,0.56641,0.94014,0.87032,0.76357,0.8154,0.50735,1.32711,0.59086,1.0129,0.006139,0.006139,0.006139
80,29393.2,1.16524,0.56309,0.93865,0.86945,0.75978,0.81433,0.50605,1.32495,0.594,1.01345,0.0060895,0.0060895,0.0060895
81,29613,1.15152,0.55571,0.93703,0.87314,0.75662,0.81304,0.50417,1.32336,0.59586,1.01273,0.00604,0.00604,0.00604
82,29835.4,1.15188,0.55975,0.93759,0.87453,0.75361,0.80872,0.50328,1.32142,0.59706,1.01249,0.0059905,0.0059905,0.0059905
83,30083.6,1.1508,0.55583,0.93713,0.86703,0.75588,0.80803,0.50302,1.31964,0.59383,1.01417,0.005941,0.005941,0.005941
84,30310.1,1.14803,0.55453,0.93894,0.86934,0.75751,0.80983,0.50268,1.31913,0.59306,1.01466,0.0058915,0.0058915,0.0058915
85,30528.9,1.15089,0.55724,0.93736,0.86646,0.76018,0.81199,0.50495,1.31905,0.59373,1.01539,0.005842,0.005842,0.005842
86,30744.5,1.15215,0.5553,0.9399,0.86472,0.75834,0.81108,0.50651,1.32003,0.59142,1.01639,0.0057925,0.0057925,0.0057925
87,30960.2,1.14728,0.55854,0.93569,0.86698,0.75942,0.81167,0.50751,1.32106,0.59115,1.01688,0.005743,0.005743,0.005743
88,31175,1.14685,0.55397,0.93429,0.87254,0.76195,0.8151,0.50782,1.31961,0.59052,1.01538,0.0056935,0.0056935,0.0056935
89,31393.8,1.13981,0.54758,0.93342,0.88002,0.75865,0.81675,0.50951,1.31963,0.58915,1.01486,0.005644,0.005644,0.005644
90,31612.8,1.14032,0.55029,0.93053,0.88238,0.76173,0.81746,0.51088,1.31826,0.58846,1.01343,0.0055945,0.0055945,0.0055945
91,31826.4,1.13917,0.54985,0.93281,0.87554,0.76508,0.81881,0.51103,1.31964,0.59036,1.01358,0.005545,0.005545,0.005545
92,32049.5,1.13676,0.54763,0.9324,0.88009,0.7644,0.81952,0.51163,1.31992,0.58946,1.01353,0.0054955,0.0054955,0.0054955
93,32266.4,1.13286,0.5457,0.93104,0.87758,0.76344,0.81946,0.51211,1.3209,0.58889,1.01493,0.005446,0.005446,0.005446
94,32483.1,1.13584,0.55154,0.93221,0.89197,0.75348,0.8195,0.51216,1.3216,0.58871,1.01455,0.0053965,0.0053965,0.0053965
95,32703.1,1.13351,0.54684,0.93057,0.88348,0.75638,0.8191,0.51166,1.32254,0.58819,1.01457,0.005347,0.005347,0.005347
96,32920,1.1341,0.54638,0.93044,0.87925,0.75736,0.81846,0.51128,1.32224,0.58913,1.0142,0.0052975,0.0052975,0.0052975
97,33136.8,1.12712,0.5445,0.92821,0.88167,0.7538,0.81767,0.51127,1.32266,0.58936,1.01491,0.005248,0.005248,0.005248
98,33352.1,1.12182,0.54007,0.92975,0.88452,0.75346,0.81748,0.51075,1.32262,0.58899,1.01481,0.0051985,0.0051985,0.0051985
99,33567.8,1.13069,0.54372,0.93164,0.89937,0.74697,0.81785,0.51109,1.32271,0.58891,1.0148,0.005149,0.005149,0.005149
100,33784.4,1.12531,0.54037,0.92995,0.88613,0.75234,0.81874,0.51119,1.3229,0.58901,1.0156,0.0050995,0.0050995,0.0050995
101,34033,1.12278,0.54194,0.92952,0.89064,0.75075,0.81769,0.51123,1.32314,0.58933,1.01609,0.00505,0.00505,0.00505
102,34248.8,1.11675,0.53576,0.92616,0.88938,0.75359,0.81847,0.51214,1.32345,0.5897,1.01611,0.0050005,0.0050005,0.0050005
103,34467.1,1.11653,0.53692,0.92596,0.88805,0.75432,0.8189,0.512,1.32423,0.58979,1.01616,0.004951,0.004951,0.004951
104,34683.5,1.11181,0.53307,0.92463,0.89668,0.751,0.81889,0.51156,1.32482,0.58944,1.01666,0.0049015,0.0049015,0.0049015
105,34899.4,1.11173,0.53003,0.92546,0.89187,0.75592,0.82048,0.51115,1.32513,0.5893,1.01676,0.004852,0.004852,0.004852
106,35114.1,1.11533,0.53218,0.92686,0.88937,0.75749,0.82199,0.51153,1.32487,0.58885,1.0166,0.0048025,0.0048025,0.0048025
107,35330.1,1.11358,0.53505,0.92524,0.8904,0.75773,0.82108,0.51151,1.32472,0.58843,1.01671,0.004753,0.004753,0.004753
108,35544.9,1.11138,0.53117,0.92575,0.8877,0.75775,0.8212,0.51243,1.32432,0.58881,1.01673,0.0047035,0.0047035,0.0047035
109,35761.1,1.11457,0.53152,0.92582,0.88756,0.75968,0.82127,0.51227,1.32458,0.58887,1.01672,0.004654,0.004654,0.004654
110,35974.5,1.11231,0.5313,0.92418,0.88838,0.7595,0.82259,0.51216,1.32459,0.58871,1.01654,0.0046045,0.0046045,0.0046045
111,36191,1.10775,0.53052,0.92559,0.88992,0.75883,0.82361,0.51196,1.32384,0.58863,1.01597,0.004555,0.004555,0.004555
