epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,18522.4,1.19109,0.58469,0.9203,0.86576,0.7626,0.82035,0.50817,1.33374,0.60331,0.981,0.006832,0.006832,0.006832
66,18787.2,1.18481,0.57936,0.91864,0.88586,0.7425,0.81854,0.50821,1.33516,0.60544,0.97919,0.0067825,0.0067825,0.0067825
67,19037,1.18121,0.58088,0.91734,0.84992,0.77063,0.82152,0.50821,1.33043,0.59547,0.97729,0.006733,0.006733,0.006733
68,19274.1,1.185,0.58193,0.91642,0.86101,0.75836,0.8206,0.50509,1.3291,0.59732,0.9797,0.0066835,0.0066835,0.0066835
69,19509.8,1.18223,0.57713,0.91773,0.86639,0.75892,0.81781,0.50735,1.32822,0.59494,0.97949,0.006634,0.006634,0.006634
70,19741,1.17672,0.57453,0.91516,0.85942,0.76623,0.82683,0.51212,1.32557,0.59169,0.9781,0.0065845,0.0065845,0.0065845
71,19976,1.17228,0.57404,0.91581,0.8616,0.76975,0.82489,0.51241,1.32467,0.59144,0.97916,0.006535,0.006535,0.006535
72,20240.1,1.17986,0.57423,0.91477,0.86207,0.76721,0.81896,0.51036,1.32223,0.59618,0.97746,0.0064855,0.0064855,0.0064855
73,20496.7,1.17323,0.57586,0.91469,0.87067,0.76306,0.82171,0.51121,1.32439,0.59662,0.97818,0.006436,0.006436,0.006436
74,20734.7,1.16878,0.56992,0.91437,0.865,0.76252,0.81592,0.50996,1.32501,0.59359,0.97864,0.0063865,0.0063865,0.0063865
75,21024.5,1.17144,0.56915,0.91373,0.87596,0.74995,0.81277,0.50862,1.32421,0.59382,0.97808,0.006337,0.006337,0.006337
76,21299.8,1.16801,0.56906,0.91345,0.85875,0.76118,0.81538,0.50611,1.33151,0.59185,0.98125,0.0062875,0.0062875,0.0062875
77,21599.5,1.16234,0.56573,0.91197,0.83975,0.77257,0.81501,0.50642,1.332,0.59198,0.98083,0.006238,0.006238,0.006238
78,21831.9,1.1691,0.56968,0.91508,0.84087,0.76513,0.81001,0.50656,1.32975,0.59461,0.98031,0.0061885,0.0061885,0.0061885
79,22062.9,1.16184,0.56452,0.91149,0.84418,0.77026,0.81335,0.50743,1.32753,0.59237,0.97847,0.006139,0.006139,0.006139
80,22300.6,1.16295,0.56285,0.91097,0.85814,0.75953,0.81202,0.50833,1.32921,0.59178,0.98028,0.0060895,0.0060895,0.0060895
81,23034,1.14764,0.55575,0.90927,0.85646,0.7581,0.81052,0.50897,1.32897,0.58926,0.97893,0.00604,0.00604,0.00604
82,23279.1,1.14879,0.55819,0.90943,0.86996,0.75024,0.81142,0.5094,1.32835,0.59002,0.97765,0.0059905,0.0059905,0.0059905
83,23519.2,1.14868,0.55611,0.90981,0.86565,0.75593,0.81556,0.51091,1.32836,0.58746,0.97724,0.005941,0.005941,0.005941
84,23751.9,1.14345,0.55444,0.91017,0.86048,0.76039,0.81566,0.50995,1.32711,0.58681,0.97804,0.0058915,0.0058915,0.0058915
85,23988.6,1.14877,0.55883,0.90917,0.8681,0.75672,0.81505,0.51124,1.32696,0.58508,0.97881,0.005842,0.005842,0.005842
86,24239.4,1.14984,0.55492,0.91005,0.86655,0.75929,0.81566,0.51076,1.32792,0.58325,0.97918,0.0057925,0.0057925,0.0057925
87,24577.4,1.14408,0.55871,0.90772,0.86617,0.75964,0.81539,0.50977,1.32639,0.5841,0.9784,0.005743,0.005743,0.005743
88,24857.7,1.14596,0.55678,0.90887,0.88623,0.7447,0.81525,0.50936,1.32817,0.58488,0.9791,0.0056935,0.0056935,0.0056935
89,25105.6,1.13726,0.54795,0.90675,0.8811,0.74383,0.81268,0.50867,1.32754,0.58658,0.97859,0.005644,0.005644,0.005644
90,25346.8,1.13524,0.5504,0.90438,0.88744,0.74083,0.81127,0.50918,1.3259,0.58868,0.97841,0.0055945,0.0055945,0.0055945
91,25579.6,1.13479,0.55028,0.90507,0.89059,0.73987,0.81247,0.51075,1.32716,0.58852,0.9784,0.005545,0.005545,0.005545
92,25816,1.13537,0.5495,0.9053,0.88243,0.745,0.81357,0.51042,1.32749,0.58848,0.97837,0.0054955,0.0054955,0.0054955
93,26074.3,1.13063,0.54773,0.90393,0.87413,0.75008,0.81364,0.50975,1.32848,0.58801,0.97866,0.005446,0.005446,0.005446
94,26456.4,1.13567,0.55264,0.90629,0.84324,0.76862,0.81369,0.50929,1.32828,0.58752,0.97851,0.0053965,0.0053965,0.0053965
95,26697.1,1.13202,0.54892,0.90416,0.87403,0.75294,0.81555,0.51073,1.32795,0.58588,0.97865,0.005347,0.005347,0.005347
96,26949.3,1.13276,0.54677,0.90452,0.87404,0.75433,0.8172,0.51047,1.3273,0.58487,0.97853,0.0052975,0.0052975,0.0052975
97,27195.9,1.12686,0.54546,0.9042,0.88845,0.75276,0.81727,0.51083,1.32731,0.58511,0.97866,0.005248,0.005248,0.005248
98,27581.8,1.12073,0.5431,0.90504,0.8901,0.75187,0.81611,0.51103,1.32687,0.58495,0.97823,0.0051985,0.0051985,0.0051985
99,27823.9,1.12902,0.54638,0.90525,0.88799,0.75097,0.81629,0.51124,1.32767,0.58496,0.97894,0.005149,0.005149,0.005149
100,28287.5,1.12476,0.54275,0.90343,0.88692,0.75171,0.81669,0.5117,1.328,0.58549,0.97953,0.0050995,0.0050995,0.0050995
101,28538.7,1.12167,0.54475,0.90307,0.88072,0.75731,0.81728,0.51152,1.32814,0.58507,0.98009,0.00505,0.00505,0.00505
102,28775.9,1.11672,0.53877,0.90097,0.88375,0.75454,0.8174,0.51122,1.32786,0.5849,0.98021,0.0050005,0.0050005,0.0050005
103,29008.1,1.11288,0.53866,0.89944,0.88258,0.75355,0.81719,0.51124,1.32844,0.58507,0.98052,0.004951,0.004951,0.004951
104,29245.8,1.11039,0.53511,0.89999,0.88493,0.75422,0.81634,0.51128,1.32867,0.58385,0.98044,0.0049015,0.0049015,0.0049015
105,29490.5,1.11222,0.53404,0.90149,0.88125,0.75586,0.81636,0.51163,1.3288,0.58354,0.98061,0.004852,0.004852,0.004852
106,29720.2,1.11233,0.53387,0.90057,0.87862,0.75646,0.81609,0.51156,1.32912,0.58477,0.98045,0.0048025,0.0048025,0.0048025
107,29952.3,1.11374,0.53723,0.89925,0.87479,0.75713,0.81719,0.51219,1.32876,0.58452,0.98055,0.004753,0.004753,0.004753
108,30192.5,1.11286,0.53413,0.90068,0.88586,0.75308,0.81794,0.51181,1.32827,0.58387,0.98086,0.0047035,0.0047035,0.0047035
109,30461.7,1.1138,0.53578,0.9004,0.89886,0.74669,0.81855,0.51223,1.32831,0.58374,0.98071,0.004654,0.004654,0.004654
110,30726.5,1.11308,0.53426,0.90007,0.90102,0.74516,0.81858,0.51206,1.3283,0.58383,0.98081,0.0046045,0.0046045,0.0046045
111,30980.9,1.11317,0.53478,0.90256,0.90286,0.74582,0.81848,0.51169,1.32819,0.58362,0.98099,0.004555,0.004555,0.004555
112,31288.7,1.10539,0.53201,0.89946,0.9009,0.74621,0.81793,0.51143,1.32769,0.58343,0.98074,0.0045055,0.0045055,0.0045055
113,31542.8,1.10261,0.53298,0.89752,0.90219,0.746,0.81804,0.51197,1.32776,0.58318,0.98081,0.004456,0.004456,0.004456
114,31776.2,1.09853,0.52809,0.89948,0.89291,0.74812,0.81806,0.51207,1.32768,0.58279,0.98072,0.0044065,0.0044065,0.0044065
115,32008.7,1.09896,0.52795,0.89635,0.88873,0.74967,0.81748,0.5122,1.32812,0.58266,0.98094,0.004357,0.004357,0.004357
116,32240.5,1.10209,0.52915,0.89859,0.86619,0.76122,0.81786,0.51254,1.32801,0.58224,0.98087,0.0043075,0.0043075,0.0043075
117,32786.6,1.09006,0.52455,0.89616,0.86374,0.76341,0.8175,0.51232,1.32787,0.58197,0.9809,0.004258,0.004258,0.004258
118,33031.1,1.09906,0.52642,0.89823,0.86241,0.76511,0.81725,0.51221,1.3282,0.58178,0.98085,0.0042085,0.0042085,0.0042085
119,33284.3,1.08656,0.52076,0.89396,0.8666,0.76086,0.81666,0.51187,1.32828,0.58176,0.98086,0.004159,0.004159,0.004159
120,33609.8,1.08342,0.52022,0.89386,0.86851,0.75899,0.81641,0.51165,1.32831,0.58172,0.98079,0.0041095,0.0041095,0.0041095
121,33845.3,1.08809,0.52353,0.89615,0.85991,0.76458,0.81551,0.51139,1.32844,0.58212,0.9807,0.00406,0.00406,0.00406
